                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1527,                 1.3565,                 1.2056,                0.67585,                0.81053,                0.68364,                0.44317,                 1.0588,                 1.9808,                 1.0686,             0.00066066,             0.00066066,             0.00066066
                      2,                 1.2533,                 1.1161,                 1.2347,                0.44024,                0.32842,                0.29421,                0.17314,                 1.8916,                 2.2854,                  1.701,              0.0012748,              0.0012748,              0.0012748
                      3,                 1.2776,                 1.1083,                 1.2429,                0.88764,                0.66524,                0.75105,                0.49115,                 1.2851,                 1.0913,                 1.2323,              0.0018361,              0.0018361,              0.0018361
                      4,                 1.2551,                 1.0678,                 1.2432,                0.83765,                 0.7495,                0.79035,                0.52191,                 1.1673,                 1.1886,                 1.1764,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2051,                0.96622,                 1.2158,                 0.9055,                0.82708,                0.86198,                 0.5735,                 1.1612,                0.82112,                 1.1281,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.1453,                0.94802,                 1.1843,                0.88159,                0.83074,                 0.8764,                0.62101,                 1.0853,                0.80712,                 1.1159,               0.001604,               0.001604,               0.001604
                      7,                 1.1094,                0.89032,                 1.1761,                0.92267,                0.82887,                0.88129,                0.63501,                   1.02,                0.72784,                  1.074,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.0834,                0.83951,                 1.1595,                0.90974,                0.85895,                0.88753,                0.60111,                 1.1233,                0.78214,                 1.0999,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.0563,                0.81031,                 1.1505,                0.90876,                0.85973,                0.88625,                0.65516,                0.93276,                 0.6959,                 1.0422,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.0315,                0.77681,                 1.1384,                0.92586,                0.84421,                0.88827,                0.64364,                0.99566,                0.68846,                 1.0592,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.0044,                0.74467,                  1.124,                0.91963,                0.86526,                0.89766,                0.66153,                 0.9678,                0.65723,                 1.0402,               0.001208,               0.001208,               0.001208
                     12,                0.96781,                0.71998,                 1.1064,                0.94051,                0.84842,                0.88309,                0.66619,                0.90533,                0.66005,                 1.0322,              0.0011288,              0.0011288,              0.0011288
                     13,                0.95924,                0.71361,                 1.1071,                0.90168,                0.88813,                0.90001,                0.65153,                 1.0134,                0.66551,                  1.062,              0.0010496,              0.0010496,              0.0010496
                     14,                0.95552,                 0.6973,                 1.1046,                0.95179,                0.87276,                0.91007,                 0.6851,                  0.929,                0.60558,                 1.0278,              0.0009704,              0.0009704,              0.0009704
                     15,                0.91258,                0.66177,                 1.0853,                0.94246,                0.85053,                 0.8974,                0.67548,                0.90649,                0.61324,                 1.0126,              0.0008912,              0.0008912,              0.0008912
                     16,                0.82943,                 0.5561,                 1.0422,                0.91534,                0.88768,                0.90239,                0.69182,                 0.9208,                0.59835,                 1.0184,               0.000812,               0.000812,               0.000812
                     17,                0.79611,                0.52229,                 1.0323,                0.93978,                0.89474,                0.91766,                 0.6887,                0.94013,                0.57444,                 1.0286,              0.0007328,              0.0007328,              0.0007328
                     18,                 0.7768,                0.49015,                 1.0235,                0.94728,                0.86105,                0.91422,                0.69161,                0.89805,                0.57686,                 1.0321,              0.0006536,              0.0006536,              0.0006536
                     19,                0.75844,                0.47954,                 1.0236,                0.94974,                0.87518,                0.91496,                0.67659,                0.93107,                0.57632,                 1.0379,              0.0005744,              0.0005744,              0.0005744
                     20,                0.72059,                0.44787,                0.99605,                0.95483,                0.86526,                0.92014,                0.68242,                0.95977,                0.57849,                 1.0451,              0.0004952,              0.0004952,              0.0004952
                     21,                0.70769,                0.43661,                0.99279,                0.94125,                  0.877,                0.91331,                0.68313,                0.90253,                0.54094,                 1.0252,               0.000416,               0.000416,               0.000416
                     22,                0.68414,                0.41682,                0.97563,                0.93738,                   0.88,                0.91327,                0.69777,                0.89045,                0.53243,                 1.0204,              0.0003368,              0.0003368,              0.0003368
                     23,                0.67848,                0.41445,                0.98119,                0.95619,                0.87306,                 0.9179,                0.71081,                0.85236,                0.51863,                 0.9999,              0.0002576,              0.0002576,              0.0002576
                     24,                0.64923,                0.39019,                0.96746,                0.94009,                0.89053,                0.91452,                0.70802,                0.85636,                0.51873,                 1.0069,              0.0001784,              0.0001784,              0.0001784
                     25,                0.63176,                0.37607,                0.96431,                 0.9584,                0.85895,                0.91737,                0.71005,                0.86651,                0.51966,                 1.0071,               9.92e-05,               9.92e-05,               9.92e-05
